Measurement Name , ROOT_ID, POLARITY, AUX_IO_P, AUX_IO_N, Average Enable, Alarm Enable, Low Threshold, High Threshold, Satellite Name 
VCCAUX, 0, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC system ADCPS9_X0Y0
VCCAUX_SMON, 9, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC system ADCPS9_X0Y0
VCCINT, 8, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC system ADCPS9_X0Y0
VCC_RAM, 7, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC system ADCPS9_X0Y0
VCC_SOC, 5, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC system ADCPS9_X0Y0
GTYP_AVCCAUX_104, 24, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y5
GTYP_AVCC_104, 22, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y5
GTYP_AVTT_104, 17, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y5
GTYP_AVCCAUX_103, 23, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y4
GTYP_AVCC_103, 21, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y4
GTYP_AVTT_103, 16, 2 V unipolar, , ,1, 1, 0.00, 2.00, Clocking column satellite_X1Y4
VCCO_302, 10, 4 V unipolar, , ,1, 1, 0.00, 4.00, Clocking column satellite_X1Y4
VCCAUX_PMC, 1, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC user ADCPS9_X0Y0
VCCO_500, 11, 4 V unipolar, , ,1, 1, 0.00, 4.00, PMC user ADCPS9_X0Y0
VCCO_501, 12, 4 V unipolar, , ,1, 1, 0.00, 4.00, PMC user ADCPS9_X0Y0
VCCO_503, 15, 4 V unipolar, , ,1, 1, 0.00, 4.00, PMC user ADCPS9_X0Y0
VCC_PMC, 2, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC user ADCPS9_X0Y0
VCC_PSFP, 3, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC user ADCPS9_X0Y0
VCC_PSLP, 4, 2 V unipolar, , ,1, 1, 0.00, 2.00, PMC user ADCPS9_X0Y0
VP_VN, 6, 1 V unipolar, , ,1, 1, 0.00, 1.00, PMC user ADCPS9_X0Y0
VCCO_700, 14, 2 V unipolar, , ,1, 1, 0.00, 2.00, XPIO satellite_X3Y0
VCCO_701, 20, 2 V unipolar, , ,1, 1, 0.00, 2.00, XPIO satellite_X3Y0
VCCO_702, 19, 2 V unipolar, , ,1, 1, 0.00, 2.00, XPIO satellite_X3Y0
VCCO_703, 18, 2 V unipolar, , ,1, 1, 0.00, 2.00, XPIO satellite_X6Y0
VCCO_502, 13, 4 V unipolar, , ,1, 1, 0.00, 4.00, PS LPD satellitePS9_X0Y0
